"GeneID","Description"
"LOC126278879","uncharacterized LOC126278879"
"LOC126278882","protein artichoke"
"LOC126278889","putative transcription factor SOX-15"
"LOC126278890","vesicular inhibitory amino acid transporter"
"LOC126278893","calbindin-32"
"LOC126278899","uncharacterized LOC126278899"
"LOC126278901","neural-cadherin-like"
"LOC126278904","uncharacterized LOC126278904"
"LOC126278905","orexin/Hypocretin receptor type 1-like"
"LOC126278925","KH domain-containing%2C RNA-binding%2C signal transduction-associated protein 1-like"
"LOC126278926","uncharacterized LOC126278926"
"LOC126278931","dynein axonemal heavy chain 1-like"
"LOC126278937","cuticle protein 16.5-like"
"LOC126278946","ATP-binding cassette subfamily G member 4-like"
"LOC126278947","uncharacterized LOC126278947"
"LOC126278953","xanthine dehydrogenase"
"LOC126278960","uncharacterized LOC126278960"
"LOC126278961","heat shock protein 68-like"
"LOC126278962","uncharacterized LOC126278962"
"LOC126278965","uncharacterized LOC126278965"
"LOC126278970","uncharacterized LOC126278970"
"LOC126278971","ATP-binding cassette sub-family G member 1-like"
"LOC126278972","inactive pancreatic lipase-related protein 1"
"LOC126278973","uncharacterized LOC126278973"
"LOC126278974","vesicular glutamate transporter 1"
"LOC126278975","uncharacterized LOC126278975"
"LOC126278987","excitatory amino acid transporter"
"LOC126278999","uncharacterized LOC126278999"
"LOC126279006","uncharacterized LOC126279006"
"LOC126279010","protein phosphatase 1 regulatory subunit 42-like"
"LOC126279017","cohesin subunit SA-2-like"
"LOC126279018","uncharacterized LOC126279018"
"LOC126279019","uncharacterized LOC126279019"
"LOC126279026","uncharacterized LOC126279026"
"LOC126279028","replication factor C subunit 2"
"LOC126279034","uncharacterized LOC126279034"
"LOC126279046","origin recognition complex subunit 5-like"
"LOC126279052","thymidine kinase%2C cytosolic-like"
"LOC126279058","acylphosphatase-2"
"LOC126279072","G2/mitotic-specific cyclin-B-like"
"LOC126279089","carboxylesterase 5A-like"
"LOC126279094","sodium-dependent noradrenaline transporter-like"
"LOC126279095","uncharacterized LOC126279095"
"LOC126279103","dachshund homolog 1-like"
"LOC126279109","long-chain fatty acid transport protein 1-like"
"LOC126279111","S-phase kinase-associated protein 2"
"LOC126279122","carbonic anhydrase 13-like"
"LOC126279126","phenoloxidase-activating factor 2"
"LOC126279132","uncharacterized LOC126279132"
"LOC126279135","protein FAM151B-like"
"LOC126279137","uncharacterized LOC126279137"
"LOC126279221","small integral membrane protein 14"
"LOC126279247","sodium-dependent dopamine transporter"
"LOC126279309","calcium release-activated calcium channel protein 1-like"
"LOC126279311","U1 spliceosomal RNA"
"LOC126279313","U5 spliceosomal RNA"
"LOC126279406","SEC14-like protein 2"
"LOC126279611","solute carrier organic anion transporter family member 74D-like"
"LOC126279638","solute carrier organic anion transporter family member 74D-like"
"LOC126279664","solute carrier organic anion transporter family member 74D-like"
"LOC126279690","ras guanine nucleotide exchange factor P"
"LOC126279694","U6 spliceosomal RNA"
"LOC126279732","U6 spliceosomal RNA"
"LOC126279752","U6 spliceosomal RNA"
"LOC126279765","small subunit ribosomal RNA"
"LOC126279766","small subunit ribosomal RNA"
"LOC126279767","large subunit ribosomal RNA"
"LOC126279787","odorant receptor 43a-like"
"LOC126279803","solute carrier organic anion transporter family member 74D-like"
"LOC126279835","solute carrier organic anion transporter family member 74D"
"LOC126279923","RNA-binding protein 24-B-like"
"LOC126279939","uncharacterized LOC126279939"
"LOC126280362","uncharacterized LOC126280362"
"LOC126280378","loricrin-like"
"LOC126280394","alanine and glycine-rich protein-like"
"LOC126280410","uncharacterized LOC126280410"
"LOC126280462","loricrin-like"
"LOC126280509","uncharacterized LOC126280509"
"LOC126280525","uncharacterized LOC126280525"
"LOC126280541","holotricin-3-like"
"LOC126280573","uncharacterized LOC126280573"
"LOC126280638","uncharacterized LOC126280638"
"LOC126280670","uncharacterized LOC126280670"
"LOC126280697","acanthoscurrin-2-like"
"LOC126280729","uncharacterized LOC126280729"
"LOC126280740","mucin-5AC"
"LOC126280827","uncharacterized LOC126280827"
"LOC126280853","uncharacterized LOC126280853"
"LOC126280942","acid sphingomyelinase-like phosphodiesterase 3a"
"LOC126280958","GTP-binding protein Rhes-like"
"LOC126280991","apolipoprotein D-like"
"LOC126281023","ras-related and estrogen-regulated growth inhibitor-like"
"LOC126281049","retinal dehydrogenase 2-like"
"LOC126281065","serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit C-like"
"LOC126281081","serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B-like"
"LOC126281097","serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A-like"
"LOC126281163","uncharacterized LOC126281163"
"LOC126281164","dolichol-phosphate mannosyltransferase subunit 3"
"LOC126281165","vascular endothelial growth factor A-like"
"LOC126281185","myrosinase 1-like"
"LOC126281196","uncharacterized LOC126281196"
"LOC126281197","uncharacterized protein K02A2.6-like"
"LOC126281198","tropomyosin"
"LOC126281200","uncharacterized LOC126281200"
"LOC126281202","tropomyosin-1"
"LOC126281203","uncharacterized LOC126281203"
"LOC126281204","synaptotagmin-11"
"LOC126281230","elongation of very long chain fatty acids protein 4-like"
"LOC126281231","uncharacterized LOC126281231"
"LOC126281237","endochitinase-like"
"LOC126281248","probable cytochrome P450 301a1%2C mitochondrial"
"LOC126281263","solute carrier family 2%2C facilitated glucose transporter member 1-like"
"LOC126281264","uncharacterized LOC126281264"
"LOC126281265","phosphoribosylformylglycinamidine synthase"
"LOC126281273","alpha-crystallin A chain-like"
"LOC126281275","uncharacterized LOC126281275"
"LOC126281279","uncharacterized LOC126281279"
"LOC126281280","uncharacterized LOC126281280"
"LOC126281281","uncharacterized LOC126281281"
"LOC126281282","uncharacterized LOC126281282"
"LOC126281285","forkhead box protein K1-like"
"LOC126281289","multidrug resistance protein homolog 49-like"
"LOC126281291","polyubiquitin-A"
"LOC126281292","ras-specific guanine nucleotide-releasing factor 2-like"
"LOC126281297","uncharacterized LOC126281297"
"LOC126281298","uncharacterized LOC126281298"
"LOC126281299","uncharacterized LOC126281299"
"LOC126281300","uncharacterized LOC126281300"
"LOC126281301","uncharacterized LOC126281301"
"LOC126281302","uncharacterized LOC126281302"
"LOC126281303","uncharacterized LOC126281303"
"LOC126281308","AN1-type zinc finger protein 2A-like"
"LOC126281310","uncharacterized LOC126281310"
"LOC126281313","uncharacterized LOC126281313"
"LOC126281314","cytochrome P450 4C1-like"
"LOC126281326","homeobox protein CHOX-CAD"
"LOC126281330","phosphatidylinositol phosphatase PTPRQ-like"
"LOC126281332","caspase-6-like"
"LOC126281335","outer dense fiber protein 3"
"LOC126281341","uncharacterized LOC126281341"
"LOC126281350","uncharacterized LOC126281350"
"LOC126281351","synaptic vesicle glycoprotein 2B"
"LOC126281354","mucin-5AC-like"
"LOC126281357","cytochrome P450 4C1-like"
"LOC126281365","uncharacterized LOC126281365"
"LOC126281368","esterase FE4-like"
"LOC126281373","neuroendocrine convertase 1-like"
"LOC126281376","probable cytochrome P450 6g2"
"LOC126281377","inter-alpha-trypsin inhibitor heavy chain H4-like"
"LOC126281379","uncharacterized LOC126281379"
"LOC126281380","uncharacterized LOC126281380"
"LOC126281382","probable cytochrome P450 6a20"
"LOC126281383","cytochrome P450 6j1-like"
"LOC126281385","cytochrome P450 6j1-like"
"LOC126281386","uncharacterized LOC126281386"
"LOC126281387","odorant receptor 43a-like"
"LOC126281390","histidine-rich glycoprotein-like"
"LOC126281392","dipeptidase 1-like"
"LOC126281396","single-stranded DNA-binding protein%2C mitochondrial"
"LOC126281398","feline leukemia virus subgroup C receptor-related protein 2"
"LOC126281399","sorbitol dehydrogenase-like"
"LOC126281404","glutathione S-transferase D7-like"
"LOC126281410","glutathione S-transferase D7-like"
"LOC126281419","uncharacterized LOC126281419"
"LOC126281421","nose resistant to fluoxetine protein 6-like"
"LOC126281422","juvenile hormone esterase-like"
"LOC126281423","ATP-dependent zinc metalloprotease YME1L-like"
"LOC126281434","cAMP-dependent protein kinase type I-alpha regulatory subunit-like"
"LOC126281435","odorant receptor coreceptor-like"
"LOC126281438","sorbitol dehydrogenase-like"
"LOC126281441","carbonic anhydrase-related protein 10-like"
"LOC126281443","uncharacterized LOC126281443"
"LOC126281446","aldehyde dehydrogenase%2C mitochondrial"
"LOC126281447","sodium channel protein para"
"LOC126281454","uncharacterized LOC126281454"
"LOC126281455","uncharacterized LOC126281455"
"LOC126281456","cytochrome P450 6k1-like"
"LOC126281457","cytochrome P450 6l1-like"
"LOC126281458","proline-rich protein 36"
"LOC126281461","G-protein coupled receptor dmsr-1-like"
"LOC126281467","uncharacterized LOC126281467"
"LOC126281468","uncharacterized LOC126281468"
"LOC126281478","glycogen-binding subunit 76A"
"LOC126281481","mannosyl-oligosaccharide alpha-1%2C2-mannosidase IA"
"LOC126281482","uncharacterized LOC126281482"
"LOC126281483","zwei Ig domain protein zig-8-like"
"LOC126281485","lachesin-like"
"LOC126281486","uncharacterized LOC126281486"
"LOC126281487","periodic tryptophan protein 2 homolog"
"LOC126281490","G-protein coupled receptor dmsr-1-like"
"LOC126281492","myogenesis-regulating glycosidase-like"
"LOC126281496","uncharacterized LOC126281496"
"LOC126281498","uncharacterized LOC126281498"
"LOC126281499","multidrug resistance protein homolog 49-like"
"LOC126281500","multidrug resistance protein homolog 49-like"
"LOC126281503","synaptotagmin-10-like"
"LOC126281507","uncharacterized LOC126281507"
"LOC126281508","probable cytochrome P450 6a13"
"LOC126281509","hemicentin-2-like"
"LOC126281510","myrosinase 1-like"
"LOC126281512","myogenesis-regulating glycosidase-like"
"LOC126281516","nose resistant to fluoxetine protein 6-like"
"LOC126281517","uncharacterized LOC126281517"
"LOC126281519","acetylcholine receptor subunit alpha-like 1"
"LOC126281520","uncharacterized LOC126281520"
"LOC126281521","uncharacterized LOC126281521"
"LOC126281522","uncharacterized LOC126281522"
"LOC126281523","uncharacterized LOC126281523"
"LOC126281526","uncharacterized LOC126281526"
"LOC126281527","uncharacterized LOC126281527"
"LOC126281532","transaldolase"
"LOC126281537","polyamine-transporting ATPase 13A3-like"
"LOC126281543","uncharacterized LOC126281543"
"LOC126281553","uncharacterized LOC126281553"
"LOC126281556","myogenesis-regulating glycosidase-like"
"LOC126281559","regulator of hypoxia-inducible factor 1-like"
"LOC126281562","UDP-glucosyltransferase 2-like"
"LOC126281563","leucine-rich repeat-containing protein 55-like"
"LOC126281565","malate synthase-like"
"LOC126281568","FMRFamide neuropeptides"
"LOC126281579","uncharacterized LOC126281579"
"LOC126281581","modular serine protease-like"
"LOC126281584","aminopeptidase N-like"
"LOC126281598","ets DNA-binding protein pokkuri-like"
"LOC126281599","post-GPI attachment to proteins factor 2-like"
"LOC126281600","semaphorin-2A-like"
"LOC126281602","cuticle protein 16.5-like"
"LOC126281604","uncharacterized LOC126281604"
"LOC126281608","protein kinase C%2C brain isozyme"
"LOC126281610","uncharacterized abhydrolase domain-containing protein DDB_G0269086"
"LOC126281614","lipase 3-like"
"LOC126281618","guanylate cyclase soluble subunit beta-1"
"LOC126281620","endocuticle structural protein SgAbd-6-like"
"LOC126281622","myrosinase 1-like"
"LOC126281623","myrosinase 1-like"
"LOC126281626","serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A-like"
"LOC126281632","golgin subfamily A member 6-like protein 22"
"LOC126281635","uncharacterized LOC126281635"
"LOC126281636","cyclin-A2-like"
"LOC126281637","uncharacterized LOC126281637"
"LOC126281648","probable 4-coumarate--CoA ligase 1"
"LOC126281650","myogenesis-regulating glycosidase-like"
"LOC126281654","leucine-rich repeat-containing protein 24-like"
"LOC126281664","uncharacterized LOC126281664"
"LOC126281672","D-aspartate oxidase"
"LOC126281675","serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A-like"
"LOC126281676","acetylcholine receptor subunit beta-like 2"
"LOC126281680","uncharacterized LOC126281680"
"LOC126281683","myogenesis-regulating glycosidase-like"
"LOC126281687","shematrin-like protein 2"
"LOC126281690","TNF receptor-associated factor 3"
"LOC126281691","lipase 3-like"
"LOC126281693","keratin%2C type I cytoskeletal 9-like"
"LOC126281694","trans-1%2C2-dihydrobenzene-1%2C2-diol dehydrogenase-like"
"LOC126281695","acetylcholine receptor subunit alpha-L1"
"LOC126281697","probable cytochrome P450 6a13"
"LOC126281698","vitelline membrane protein Vm26Ab-like"
"LOC126281699","vitelline membrane protein Vm26Ab-like"
"LOC126281700","cuticle protein 19.8-like"
"LOC126281701","vitelline membrane protein Vm26Ab-like"
"LOC126281702","cuticle protein 21-like"
"LOC126281703","cuticle protein 21-like"
"LOC126281704","zwei Ig domain protein zig-8-like"
"LOC126281712","O-acyltransferase like protein-like"
"LOC126281715","caspase-1-like"
"LOC126281716","2-aminoethylphosphonate--pyruvate transaminase-like"
"LOC126281717","uncharacterized LOC126281717"
"LOC126281719","myrosinase 1-like"
"LOC126281721","uncharacterized LOC126281721"
"LOC126281729","caspase-1-like"
"LOC126281734","myrosinase 1-like"
"LOC126281737","cholinesterase-like"
"LOC126281741","uncharacterized LOC126281741"
"LOC126281743","reticulon-4 receptor-like"
"LOC126281744","UDP-glycosyltransferase UGT5-like"
"LOC126281746","UDP-glucosyltransferase 2-like"
"LOC126281749","furin-like protease 2"
"LOC126281750","uncharacterized LOC126281750"
"LOC126281751","uncharacterized LOC126281751"
"LOC126281752","uncharacterized LOC126281752"
"LOC126281758","phorbol ester/diacylglycerol-binding protein unc-13-like"
"LOC126281767","acetylcholinesterase-like"
"LOC126281770","caspase-1-like"
"LOC126281771","FAM172 family protein homolog CG10038"
"LOC126281776","protein broad-minded-like"
"LOC126281778","protein bric-a-brac 1-like"
"LOC126281780","zinc finger protein 501-like"
"LOC126281781","acetylcholinesterase-like"
"LOC126281789","uncharacterized LOC126281789"
"LOC126281791","myrosinase 1-like"
"LOC126281792","lysosomal alpha-mannosidase-like"
"LOC126281794","uncharacterized LOC126281794"
"LOC126281795","allatostatins"
"LOC126281802","nose resistant to fluoxetine protein 6-like"
"LOC126281810","gamma-aminobutyric acid receptor subunit alpha-6-like"
"LOC126281818","uncharacterized LOC126281818"
"LOC126281827","15-hydroxyprostaglandin dehydrogenase [NAD(+)]-like"
"LOC126281835","uncharacterized LOC126281835"
"LOC126281838","uncharacterized LOC126281838"
"LOC126281847","acetylcholinesterase-like"
"LOC126281854","myrosinase 1-like"
"LOC126281857","probable cytochrome P450 6a14"
"LOC126281860","uncharacterized LOC126281860"
"LOC126281861","uncharacterized LOC126281861"
"LOC126281862","uncharacterized LOC126281862"
"LOC126281863","ras association domain-containing protein 10-like"
"LOC126281868","troponin T-like"
"LOC126281869","uncharacterized LOC126281869"
"LOC126281872","G-protein coupled receptor dmsr-1-like"
"LOC126281878","mid1-interacting protein 1-like"
"LOC126281880","cardioacceleratory peptide receptor-like"
"LOC126281883","myogenesis-regulating glycosidase-like"
"LOC126281884","myrosinase 1-like"
"LOC126281885","prostaglandin reductase 1-like"
"LOC126281886","ubiquitin carboxyl-terminal hydrolase MINDY-3-like"
"LOC126281887","uncharacterized LOC126281887"
"LOC126281889","uncharacterized LOC126281889"
"LOC126281890","myrosinase 1-like"
"LOC126281892","myrosinase 1-like"
"LOC126281897","uncharacterized LOC126281897"
"LOC126281899","semaphorin-2A-like"
"LOC126281906","prostaglandin reductase 1-like"
"LOC126281909","uncharacterized LOC126281909"
"LOC126281912","uncharacterized LOC126281912"
"LOC126281914","uncharacterized LOC126281914"
"LOC126281915","uncharacterized LOC126281915"
"LOC126281916","uncharacterized LOC126281916"
"LOC126281924","epoxide hydrolase 3-like"
"LOC126281928","dual oxidase-like"
"LOC126281933","xaa-Pro aminopeptidase 1-like"
"LOC126281934","protein mab-21"
"LOC126281935","cytochrome P450 6a2-like"
"LOC126281940","gonadotropin-releasing hormone receptor-like"
"LOC126281949","probable dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1%2C3-glucosyltransferase"
"LOC126281951","myrosinase 1-like"
"LOC126281958","fructose-1%2C6-bisphosphatase 1"
"LOC126281959","putative protein TPRXL"
"LOC126281961","uncharacterized LOC126281961"
"LOC126281962","mitochondrial import inner membrane translocase subunit TIM50-C-like"
"LOC126281966","myrosinase 1-like"
"LOC126281967","nose resistant to fluoxetine protein 6-like"
"LOC126281974","sorbitol dehydrogenase-like"
"LOC126281975","sorbitol dehydrogenase-like"
"LOC126281977","integumentary mucin C.1-like"
"LOC126281978","mast/stem cell growth factor receptor kita-like"
"LOC126281979","uncharacterized LOC126281979"
"LOC126281987","zinc finger protein basonuclin-1-like"
"LOC126281993","zinc finger protein basonuclin-1-like"
"LOC126281994","chondroitin sulfate synthase 1"
"LOC126281997","leucine-rich repeat neuronal protein 2-like"
"LOC126281998","facilitated trehalose transporter Tret1-2 homolog"
"LOC126281999","uncharacterized LOC126281999"
"LOC126282003","uncharacterized LOC126282003"
"LOC126282004","uncharacterized LOC126282004"
"LOC126282012","myrosinase 1-like"
"LOC126282013","zwei Ig domain protein zig-8-like"
"LOC126282014","semaphorin-2A-like"
"LOC126282017","uncharacterized LOC126282017"
"LOC126282019","uncharacterized LOC126282019"
"LOC126282020","uncharacterized LOC126282020"
"LOC126282021","uncharacterized LOC126282021"
"LOC126282022","UDP-glucosyltransferase 2-like"
"LOC126282023","prothoracicostatic peptides"
"LOC126282030","nuclear factor NF-kappa-B p110 subunit"
"LOC126282033","F-box/LRR-repeat protein 7-like"
"LOC126282034","vascular endothelial growth factor receptor kdr-like"
"LOC126282035","vascular endothelial growth factor receptor kdr-like"
"LOC126282036","myrosinase 1-like"
"LOC126282040","bumetanide-sensitive sodium-(potassium)-chloride cotransporter"
"LOC126282043","aldehyde dehydrogenase%2C mitochondrial-like"
"LOC126282049","glycine receptor subunit alpha-3"
"LOC126282053","histidine-rich glycoprotein-like"
"LOC126282056","lipase 3-like"
"LOC126282067","uncharacterized LOC126282067"
"LOC126282071","F-box/LRR-repeat protein 17-like"
"LOC126282072","uncharacterized LOC126282072"
"LOC126282073","uncharacterized LOC126282073"
"LOC126282076","lipase 3-like"
"LOC126282077","lipase 3-like"
"LOC126282079","cuticle protein 19.8-like"
"LOC126282080","uncharacterized LOC126282080"
"LOC126282083","putative inorganic phosphate cotransporter"
"LOC126282089","muscle-specific protein 20"
"LOC126282090","cuticle protein 16.5-like"
"LOC126282091","nose resistant to fluoxetine protein 6-like"
"LOC126282100","thymidine phosphorylase-like"
"LOC126282101","cytochrome P450 6a2-like"
"LOC126282112","atrophin-1-like"
"LOC126282113","uncharacterized LOC126282113"
"LOC126282115","D-threo-3-hydroxyaspartate dehydratase-like"
"LOC126282116","D-threo-3-hydroxyaspartate dehydratase-like"
"LOC126282117","cuticle protein 19.8-like"
"LOC126282119","cytochrome P450 4C1-like"
"LOC126282123","cytochrome P450 4C1-like"
"LOC126282127","protein mesh"
"LOC126282131","uncharacterized LOC126282131"
"LOC126282133","uncharacterized LOC126282133"
"LOC126282141","prostaglandin reductase 1-like"
"LOC126282149","prostaglandin reductase 1-like"
"LOC126282154","prostaglandin reductase 1-like"
"LOC126282159","uncharacterized LOC126282159"
"LOC126282161","prostaglandin reductase 1-like"
"LOC126282163","uncharacterized LOC126282163"
"LOC126282164","bumetanide-sensitive sodium-(potassium)-chloride cotransporter-like"
"LOC126282165","leucine-rich repeat-containing protein 24-like"
"LOC126282167","patatin-like phospholipase domain-containing protein 2"
"LOC126282173","uncharacterized LOC126282173"
"LOC126282175","prostaglandin reductase 1-like"
"LOC126282177","UDP-glycosyltransferase UGT5-like"
"LOC126282179","UDP-glucosyltransferase 2-like"
"LOC126282181","juvenile hormone esterase-like"
"LOC126282184","uncharacterized LOC126282184"
"LOC126282191","synapsin"
"LOC126282194","putative helicase MOV-10"
"LOC126282199","transcription factor collier"
"LOC126282207","modular serine protease-like"
"LOC126282210","translation initiation factor IF-2-like"
"LOC126282213","uncharacterized LOC126282213"
"LOC126282214","uncharacterized LOC126282214"
"LOC126282217","katanin p60 ATPase-containing subunit A-like 2"
"LOC126282231","bumetanide-sensitive sodium-(potassium)-chloride cotransporter-like"
"LOC126282233","bumetanide-sensitive sodium-(potassium)-chloride cotransporter"
"LOC126282238","uncharacterized LOC126282238"
"LOC126282243","trigger factor-like"
"LOC126282245","uncharacterized LOC126282245"
"LOC126282247","uncharacterized LOC126282247"
"LOC126282249","uncharacterized LOC126282249"
"LOC126282250","uncharacterized LOC126282250"
"LOC126282251","uncharacterized LOC126282251"
"LOC126282253","uncharacterized LOC126282253"
"LOC126282254","uncharacterized LOC126282254"
"LOC126282256","uncharacterized LOC126282256"
"LOC126282257","uncharacterized LOC126282257"
"LOC126282259","zinc transporter 1"
"LOC126282268","LIRP"
"LOC126282269","vasotab"
"LOC126282270","mucin-2-like"
"LOC126282271","histone H2A.V"
"LOC126282289","mucin-5AC-like"
"LOC126282297","zinc finger protein 260-like"
"LOC126282298","protein tramtrack%2C beta isoform-like"
"LOC126282304","myrosinase 1-like"
"LOC126282305","odorant receptor Or2-like"
"LOC126282306","uncharacterized LOC126282306"
"LOC126282315","myogenesis-regulating glycosidase-like"
"LOC126282322","uncharacterized LOC126282322"
"LOC126282325","putative beta-carotene-binding protein"
"LOC126282328","uncharacterized LOC126282328"
"LOC126282331","mitochondrial import receptor subunit TOM40 homolog 1-like"
"LOC126282335","uncharacterized LOC126282335"
"LOC126282338","uncharacterized LOC126282338"
"LOC126282339","G-protein coupled receptor dmsr-1-like"
"LOC126282346","S-adenosylmethionine synthase-like"
"LOC126282348","G1/S-specific cyclin-D2-like"
"LOC126282356","putative methyltransferase NSUN7"
"LOC126282362","forkhead box protein E3"
"LOC126282371","cyclin-dependent kinase 1-like"
"LOC126282375","uncharacterized LOC126282375"
"LOC126282386","mucin-4-like"
"LOC126282394","uncharacterized LOC126282394"
"LOC126282396","uncharacterized LOC126282396"
"LOC126282405","facilitated trehalose transporter Tret1-2 homolog"
"LOC126282418","A disintegrin and metalloproteinase with thrombospondin motifs 7-like"
"LOC126282422","glutathione S-transferase-like"
"LOC126282424","uncharacterized LOC126282424"
"LOC126282431","uncharacterized LOC126282431"
"LOC126282434","lateral signaling target protein 2 homolog"
"LOC126282438","head-specific guanylate cyclase-like"
"LOC126282439","acetylgalactosaminyl-O-glycosyl-glycoprotein beta-1%2C3-N-acetylglucosaminyltransferase-like"
"LOC126282446","uncharacterized LOC126282446"
"LOC126282450","uncharacterized LOC126282450"
"LOC126282453","zinc finger protein basonuclin-2-like"
"LOC126282455","uncharacterized LOC126282455"
"LOC126282456","uncharacterized LOC126282456"
"LOC126282460","arginase%2C hepatic"
"LOC126282469","uncharacterized LOC126282469"
"LOC126282472","uncharacterized LOC126282472"
"LOC126282474","limbic system-associated membrane protein-like"
"LOC126282475","uncharacterized LOC126282475"
"LOC126282479","uncharacterized LOC126282479"
"LOC126282480","uncharacterized LOC126282480"
"LOC126282484","nipped-B-like protein B"
"LOC126282513","serine/threonine-protein phosphatase 4 regulatory subunit 2-like"
"LOC126282517","tryptophan 2%2C3-dioxygenase"
"LOC126282524","uncharacterized LOC126282524"
"LOC126282528","ETS homologous factor-like"
"LOC126282638","uncharacterized LOC126282638"
"LOC126282679","uncharacterized LOC126282679"
"LOC126282692","small nucleolar RNA SNORD67"
"LOC126282798","uncharacterized LOC126282798"
"LOC126282836","uncharacterized LOC126282836"
"LOC126282979","short-chain dehydrogenase/reductase family 9C member 7-like"
"LOC126282995","uncharacterized LOC126282995"
"LOC126283210","short-chain dehydrogenase/reductase family 9C member 7-like"
"LOC126283226","uncharacterized LOC126283226"
"LOC126283252","hornerin-like"
"LOC126283383","protoheme IX farnesyltransferase%2C mitochondrial-like"
"LOC126283409","3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 1"
"LOC126283629","ejaculatory bulb-specific protein 3-like"
"LOC126283710","glutamate receptor ionotropic%2C kainate 2-like"
"LOC126283772","uncharacterized LOC126283772"
"LOC126283788","scoloptoxin SSD14-like"
"LOC126283929","Meckel syndrome type 1 protein"
"LOC126283932","uncharacterized LOC126283932"
"LOC126283934","synaptotagmin-7-like"
"LOC126283954","macrophage migration inhibitory factor homolog"
"LOC126283957","aldo-keto reductase family 1 member B1-like"
"LOC126283959","aldo-keto reductase family 1 member B1-like"
"LOC126283960","aldo-keto reductase family 1 member B1-like"
"LOC126283962","aquaporin-like"
"LOC126283971","glucose dehydrogenase [FAD%2C quinone]-like"
"LOC126283972","glucose dehydrogenase [FAD%2C quinone]-like"
"LOC126283974","glucose dehydrogenase [FAD%2C quinone]-like"
"LOC126283975","glucose dehydrogenase [FAD%2C quinone]"
"LOC126283976","transducin beta-like protein 2"
"LOC126283977","glucose dehydrogenase [FAD%2C quinone]"
"LOC126283978","glucose dehydrogenase [FAD%2C quinone]-like"
"LOC126283979","progranulin-like"
"LOC126283982","uncharacterized LOC126283982"
"LOC126283989","scoloptoxin SSD14-like"
"LOC126283996","uncharacterized LOC126283996"
"LOC126283998","scoloptoxin SSD14-like"
"LOC126284000","uncharacterized LOC126284000"
"LOC126284002","elongation of very long chain fatty acids protein 6"
"LOC126284004","serine protease inhibitor I/II-like"
"LOC126284005","uncharacterized LOC126284005"
"LOC126284018","uncharacterized LOC126284018"
"LOC126284019","uncharacterized LOC126284019"
"LOC126284023","protein takeout-like"
"LOC126284030","proliferating cell nuclear antigen"
"LOC126284033","toll-like receptor 2"
"LOC126284038","cholesterol transporter ABCA5-like"
"LOC126284043","toll-like receptor 2"
"LOC126284044","cytochrome P450 6k1-like"
"LOC126284046","uncharacterized LOC126284046"
"LOC126284047","filaggrin-2-like"
"LOC126284053","uncharacterized LOC126284053"
"LOC126284055","uncharacterized LOC126284055"
"LOC126284060","D-xylose transporter"
"LOC126284063","uncharacterized LOC126284063"
"LOC126284068","endoglucanase E-4-like"
"LOC126284069","alpha-tocopherol transfer protein-like"
"LOC126284070","scavenger receptor class B member 1-like"
"LOC126284086","endocuticle structural glycoprotein SgAbd-4"
"LOC126284087","endocuticle structural glycoprotein SgAbd-3"
"LOC126284088","endocuticle structural glycoprotein SgAbd-8-like"
"LOC126284089","endocuticle structural glycoprotein SgAbd-8"
"LOC126284096","uncharacterized LOC126284096"
"LOC126284099","NADH-ubiquinone oxidoreductase 49 kDa subunit-like"
"LOC126284101","xanthine dehydrogenase-like"
"LOC126284105","cuticle protein 9.5-like"
"LOC126284106","cuticle protein 9.5-like"
"LOC126284107","cuticle protein 9.5-like"
"LOC126284119","cortactin-binding protein 2-like"
"LOC126284131","protein takeout-like"
"LOC126284139","D-altritol 5-dehydrogenase-like"
"LOC126284147","uncharacterized LOC126284147"
"LOC126284149","uncharacterized LOC126284149"
"LOC126284156","uncharacterized LOC126284156"
"LOC126284165","dentin sialophosphoprotein-like"
"LOC126284169","uncharacterized LOC126284169"
"LOC126284170","cardioacceleratory peptide receptor-like"
"LOC126284171","DNA-(apurinic or apyrimidinic site) endonuclease"
"LOC126284178","uncharacterized LOC126284178"
"LOC126284179","c-Myc-binding protein-like"
"LOC126284182","lachesin-like"
"LOC126284185","uncharacterized LOC126284185"
"LOC126284187","Krueppel-like factor 8"
"LOC126284199","glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1-like"
"LOC126284203","uncharacterized LOC126284203"
"LOC126284206","cytochrome P450 4C1-like"
"LOC126284215","phenoloxidase 2-like"
"LOC126284216","phenoloxidase 2-like"
"LOC126284221","uncharacterized LOC126284221"
"LOC126284227","UDP-glycosyltransferase UGT5-like"
"LOC126284231","uncharacterized LOC126284231"
"LOC126284232","tetratricopeptide repeat protein 28"
"LOC126284235","secreted protein C-like"
"LOC126284240","uncharacterized transmembrane protein DDB_G0289901-like"
"LOC126284249","translation initiation factor IF-2-like"
"LOC126284250","uncharacterized LOC126284250"
"LOC126284251","uncharacterized LOC126284251"
"LOC126284252","somatomedin-B and thrombospondin type-1 domain-containing protein"
