"enrichment_context","database","family","comparison","direction","plot_label","DEG_set","term_id","term_name","term_description","ontology_or_theme","pathway_scope","GeneRatio","BgRatio","FoldEnrichment","p.adjust","qvalue","Count","n_listed_genes","DEG_gene_IDs","DEG_gene_names"
"Non-directional enrichment","GO","All infection DEGs","All infection DEGs","Not split by direction","All infection DEGs","All infection DEGs","GO:0005215","transporter activity","transporter activity","MF",NA,"116/799","488/5969",1.77579556412729,1.60165184047439e-08,1.60165184047439e-08,116,116,"LOC126266590; LOC126267118; LOC126267806; LOC126267939; LOC126269255; LOC126269352; LOC126271869; LOC126272139; LOC126272251; LOC126272275; LOC126272360; LOC126272465; LOC126272718; LOC126272767; LOC126272934; LOC126273067; LOC126273220; LOC126278191; LOC126278232; LOC126278432; LOC126278467; LOC126278568; LOC126278890; LOC126278946; LOC126278971; LOC126278974; LOC126279309; LOC126281351; LOC126281447; LOC126281676; LOC126281695; LOC126282259; LOC126282638; LOC126283953; LOC126284897; LOC126285413; LOC126291821; LOC126292020; LOC126293524; LOC126293545; LOC126295251; LOC126295311; LOC126297555; LOC126297822; LOC126297964; LOC126298058; LOC126298067; LOC126298679; LOC126298783; LOC126298972; LOC126299332; LOC126299447; LOC126324336; LOC126334835; LOC126334943; LOC126334955; LOC126334996; LOC126334997; LOC126335259; LOC126335294; LOC126335355; LOC126336038; LOC126336082; LOC126336375; LOC126336484; LOC126336638; LOC126336682; LOC126336688; LOC126336864; LOC126338336; LOC126341660; LOC126341744; LOC126343426; LOC126353927; LOC126353931; LOC126354017; LOC126354018; LOC126354034; LOC126354039; LOC126354040; LOC126354163; LOC126354186; LOC126354241; LOC126354344; LOC126354478; LOC126354562; LOC126354570; LOC126354582; LOC126354750; LOC126354751; LOC126354753; LOC126354780; LOC126354785; LOC126354788; LOC126354789; LOC126354816; LOC126354827; LOC126355303; LOC126355391; LOC126355392; LOC126355582; LOC126355684; LOC126355939; LOC126355940; LOC126356039; LOC126356065; LOC126356137; LOC126356287; LOC126356316; LOC126356321; LOC126356631; LOC126357744; LOC126358740; LOC126361668; LOC126365875; LOC126366011","cac; cpx; Csat; Ent3; Inx2; Mct1; mfrn; Mvl; nAChRa2; nAChRa3; nAChRa4; nAChRa8; NaPi-T; Nhe2; Nmdar1; Nmdar2; Orct; Pain; para; Rdl; sesB; Shaw; st; Sur; Tk; unannotated; w"
"Non-directional enrichment","GO","All infection DEGs","All infection DEGs","Not split by direction","All infection DEGs","All infection DEGs","GO:0006022","aminoglycan metabolic process","aminoglycan metabolic process","BP",NA,"25/799","48/5969",3.89093137254902,4.17050133851766e-08,4.17050133851766e-08,25,25,"LOC126266657; LOC126267061; LOC126267215; LOC126267216; LOC126267217; LOC126267343; LOC126267652; LOC126268068; LOC126271949; LOC126274364; LOC126278279; LOC126281994; LOC126284041; LOC126285462; LOC126297427; LOC126299078; LOC126317480; LOC126335001; LOC126335966; LOC126336345; LOC126346580; LOC126346606; LOC126346622; LOC126354720; LOC126365918","Cda4; Cda5; Cht6; GlcAT-P; mmy; PGRPLA; unannotated"
"Non-directional enrichment","GO","All infection DEGs","All infection DEGs","Not split by direction","All infection DEGs","All infection DEGs","GO:0015318","GO:0015318","GO:0015318",NA,NA,"77/799","286/5969",2.01131221719457,8.32372946923632e-08,8.32372946923632e-08,77,77,"LOC126266590; LOC126267806; LOC126267939; LOC126269255; LOC126269352; LOC126271869; LOC126272139; LOC126272251; LOC126272275; LOC126272360; LOC126272718; LOC126272767; LOC126272934; LOC126273220; LOC126278191; LOC126278432; LOC126278568; LOC126278890; LOC126278946; LOC126278971; LOC126278974; LOC126279309; LOC126281447; LOC126281676; LOC126281695; LOC126282259; LOC126282638; LOC126283953; LOC126285413; LOC126292020; LOC126293524; LOC126293545; LOC126295251; LOC126295311; LOC126297555; LOC126297822; LOC126298058; LOC126298067; LOC126298679; LOC126298972; LOC126324336; LOC126334943; LOC126334996; LOC126334997; LOC126336038; LOC126336082; LOC126336682; LOC126336864; LOC126338336; LOC126341660; LOC126353927; LOC126353931; LOC126354034; LOC126354186; LOC126354344; LOC126354562; LOC126354582; LOC126354750; LOC126354751; LOC126354753; LOC126354785; LOC126354788; LOC126354816; LOC126354827; LOC126355303; LOC126355582; LOC126355939; LOC126355940; LOC126356065; LOC126356137; LOC126356287; LOC126356316; LOC126356631; LOC126358740; LOC126361668; LOC126365875; LOC126366011","cac; Mct1; mfrn; Mvl; nAChRa2; nAChRa3; nAChRa4; nAChRa8; Nhe2; Nmdar1; Nmdar2; Pain; para; Rdl; Shaw; unannotated"
"Non-directional enrichment","GO","All infection DEGs","All infection DEGs","Not split by direction","All infection DEGs","All infection DEGs","GO:0006026","aminoglycan catabolic process","aminoglycan catabolic process","BP",NA,"15/799","23/5969",4.87212276214834,2.67734560184165e-06,2.67734560184165e-06,15,15,"LOC126267061; LOC126267215; LOC126267216; LOC126267217; LOC126267343; LOC126267652; LOC126268068; LOC126274364; LOC126278279; LOC126285462; LOC126297427; LOC126346580; LOC126346606; LOC126346622; LOC126365918","Cda4; Cda5; Cht6; PGRPLA; unannotated"
"Non-directional enrichment","GO","All infection DEGs","All infection DEGs","Not split by direction","All infection DEGs","All infection DEGs","GO:0006820","monoatomic anion transport","monoatomic anion transport","BP",NA,"59/799","212/5969",2.07907880133185,2.67734560184165e-06,2.67734560184165e-06,59,59,"LOC126267118; LOC126269255; LOC126269352; LOC126272251; LOC126272275; LOC126272360; LOC126272465; LOC126272718; LOC126272934; LOC126273067; LOC126278232; LOC126278467; LOC126278890; LOC126278974; LOC126281351; LOC126284897; LOC126285413; LOC126295311; LOC126298067; LOC126298679; LOC126299447; LOC126334835; LOC126334955; LOC126334996; LOC126334997; LOC126335259; LOC126335355; LOC126336375; LOC126336484; LOC126336638; LOC126336682; LOC126336688; LOC126337983; LOC126341744; LOC126353927; LOC126353931; LOC126354039; LOC126354040; LOC126354163; LOC126354241; LOC126354344; LOC126354478; LOC126354562; LOC126354582; LOC126354750; LOC126354751; LOC126354753; LOC126354780; LOC126354788; LOC126354827; LOC126355391; LOC126355392; LOC126355684; LOC126355939; LOC126355940; LOC126356039; LOC126356065; LOC126356631; LOC126366011","Csat; Mct1; NaPi-T; Orct; Rdl; sesB; unannotated; w"
"Non-directional enrichment","GO","All infection DEGs","All infection DEGs","Not split by direction","All infection DEGs","All infection DEGs","GO:0038023","signaling receptor activity","signaling receptor activity","MF",NA,"51/799","180/5969",2.11666666666667,1.29391723388737e-05,1.29391723388737e-05,51,51,"LOC126266656; LOC126266672; LOC126266988; LOC126267133; LOC126267163; LOC126267315; LOC126267861; LOC126271869; LOC126273193; LOC126278518; LOC126281676; LOC126281695; LOC126282035; LOC126284291; LOC126284394; LOC126285462; LOC126293524; LOC126293545; LOC126297822; LOC126298288; LOC126298404; LOC126298972; LOC126298991; LOC126298992; LOC126299097; LOC126299155; LOC126299298; LOC126299506; LOC126323231; LOC126324336; LOC126330497; LOC126334107; LOC126335021; LOC126335775; LOC126335869; LOC126335918; LOC126336238; LOC126353850; LOC126353956; LOC126354348; LOC126354398; LOC126354602; LOC126355437; LOC126355545; LOC126355582; LOC126356271; LOC126356808; LOC126359421; LOC126361237; LOC126365747; LOC126366011","Akhr; boss; DOME; Dscam; GPRFZ3; GPRGBB2; GPRGBB3; GPRGPH; GPRGRP1; GPRNNA21; Lkr; nAChRa2; nAChRa3; nAChRa4; nAChRa8; Nmdar1; Nmdar2; Ptc; Rdl; tor; unannotated; unc-5"
"Non-directional enrichment","GO","All infection DEGs","All infection DEGs","Not split by direction","All infection DEGs","All infection DEGs","GO:0000270","peptidoglycan metabolic process","peptidoglycan metabolic process","BP",NA,"9/799","10/5969",6.72352941176471,1.61395893859305e-05,1.61395893859305e-05,9,9,"LOC126267061; LOC126267215; LOC126267216; LOC126267217; LOC126267343; LOC126267652; LOC126268068; LOC126285462; LOC126365918","PGRPLA; unannotated"
"Non-directional enrichment","GO","All infection DEGs","All infection DEGs","Not split by direction","All infection DEGs","All infection DEGs","GO:0004866","endopeptidase inhibitor activity","endopeptidase inhibitor activity","MF",NA,"9/799","10/5969",6.72352941176471,1.61395893859305e-05,1.61395893859305e-05,9,9,"LOC126278346; LOC126281178; LOC126282193; LOC126282269; LOC126335544; LOC126335545; LOC126335546; LOC126335547; LOC126354914","IAP5; unannotated"
"Non-directional enrichment","GO","All infection DEGs","All infection DEGs","Not split by direction","All infection DEGs","All infection DEGs","GO:0009253","peptidoglycan catabolic process","peptidoglycan catabolic process","BP",NA,"9/799","10/5969",6.72352941176471,1.61395893859305e-05,1.61395893859305e-05,9,9,"LOC126267061; LOC126267215; LOC126267216; LOC126267217; LOC126267343; LOC126267652; LOC126268068; LOC126285462; LOC126365918","PGRPLA; unannotated"
"Non-directional enrichment","GO","All infection DEGs","All infection DEGs","Not split by direction","All infection DEGs","All infection DEGs","GO:0010466","negative regulation of peptidase activity","negative regulation of peptidase activity","BP",NA,"9/799","10/5969",6.72352941176471,1.61395893859305e-05,1.61395893859305e-05,9,9,"LOC126278346; LOC126281178; LOC126282193; LOC126282269; LOC126335544; LOC126335545; LOC126335546; LOC126335547; LOC126354914","IAP5; unannotated"
